Nomor,Jenis Komentar Tiktok,Kategori Cyberbullying,Gaya Bullying
,,,
1,,Denigration,Komentar dari BLINK ini termasuk dalam kategori Denigration karena kalimat yang diutarakan mengandung motif merendahkan karya dari aespa
2,,Denigration,Komentar dari BLINK ini mengacu pada tayangan video live peroformance aespa. Komentar termasuk dalam kategori Denigration karena kalimat yang diutarakan mengandung motif merendahkan karya dari aespa
3,,Flaming,Komentar dari BLINK ini termasuk dalam kategori Flaming karena kalimat yang diutarakan mengandung ejekan terhadap salah satu personil aespa bahwa telah melakukan operasi plastik tanpa dasar yang kuat
4,,Denigration,Komentar dari My ini termasuk dalam kategori Denigration karena memanggil nenek-nenek sehingga dapat merendahkan orang tersebut yang diutarakan mengandung celaan terhadap salah satu BLINK yang ingin menjelaskan terkait komentarnya yang salah dimengerti
5,,Flaming,Komentar dari BLINK ini termasuk dalam kategori Flaming karena kalimat yang diutarakan mengandung ejekan terhadap salah satu personil aespa bahwa telah melakukan operasi plastik tanpa dasar yang kuat
6,,Flaming,Komentar dari My ini termasuk dalam kategori Flaming karena kalimat yang diutarakan mengandung ejekan terhadap salah satu personil Blackpink bahwa telah melakukan operasi plastik tanpa dasar yang kuat
7,,Flaming,Komentar dari BLINK ini termasuk dalam kategori Flaming karena kalimat yang diutarakan mengandung ejekan terhadap My bahwa mereka merupakan fans toxic
8,,Denigration,Komentar dari My ini termasuk dalam kategori Denigration karena menjelekan Blackpink yang selalu menghakpatenkan konsep yang dipakai dan selalu mengklaim plagiat terhadap grup lain yang memakai konsep hampir serupa 
9,,Denigration,Komentar dari BLINK ini mengacu pada tayangan video live peroformance aespa. Komentar termasuk dalam kategori Denigration karena kalimat yang diutarakan mengandung motif merendahkan karya dari aespa
10,,Denigration,Komentar dari BLINK ini termasuk dalam kategori Denigration karena kalimat yang diutarakan mengandung sindiran kepada aespa
11,,Flaming,Komentar dari BLINK ini termasuk dalam kategori Flaming karena kalimat yang diutarakan mengandung makian terhadap aespa secara umum dengan konotasi merendahkan
12,,Denigration,Komentar dari BLINK ini termasuk dalam kategori Denigration karena kalimat yang diutarakan mengandung frasa mengejek penampilan aespa
13,,Denigration,Komentar dari BLINK ini termasuk dalam kategori Denigration karena kalimat yang diutarakan mengandung frasa merendahkan aespa
14,,Denigration,Komentar dari BLINK ini termasuk dalam kategori Denigration karena kalimat yang diutarakan mengandung sindiran kepada fisik aespa secara umum
15,,Flaming,Komentar dari BLINK ini termasuk dalam kategori Flaming karena kalimat yang diutarakan mengandung frasa mengejek penampilan aespa
16,,Denigration,Komentar dari My ini termasuk dalam kategori Denigration karena kalimat yang diutarakan mengandung konotasi merendahkan fandom Blackpink. Namun hal ini mengacu pada konteks video penggunaakn hashtag #aespainyourarea yang dituding oleh BLINK sebagai wujud plagiat
17,,Flaming,Komentar dari My ini termasuk dalam kategori Flaming karena kalimat yang diutarakan mengandung ejekan terhadap pengirim video (BLINK) yang membandingkan teaser aespa dan Blackpink dengan kata bocil
18,,Denigration,Komentar dari BLINK ini termasuk dalam kategori Denigration karena kalimat yang diutarakan menyindir video promosi aespa di suatu brand bahwa video tersebut terinspirasi video Blackpink
19,,Denigration,Komentar dari My ini termasuk dalam kategori Denigration karena kalimat yang diutarakan mengandung ejekan terhadap BLINK dengan memanggil mereka dengan nama BLONKKK dan masih anak SD
20,,Flaming,Komentar dari My ini termasuk dalam kategori Flaming karena kalimat yang diutarakan mengandung ejekan terhadap BLINK dengan memanggil mereka dengan nama BLONKKK
21,,Flaming,Komentar dari My ini termasuk dalam kategori Flaming karena kalimat yang diutarakan mengandung ejekan terhadap karya Blackpink dengan mengatakan background music di video Blackpink itu sama seperti suara token listrik yang mau habis
22,,Denigration,Komentar dari BLINK ini termasuk dalam kategori Denigration karena kalimat yang diutarakan mengandung konotasi menyindir dan membuat tudingan kepada aespa tanpa alasan yang jelas
23,,Denigration,Komentar dari BLINK ini termasuk dalam kategori Denigration karena kalimat yang diutarakan mengandung konotasi merendahkan aespa
24,,Denigration,Komentar dari BLINK ini termasuk dalam kategori Denigration karena kalimat yang diutarakan mengandung konotasi merendahkan aespa
25,,Denigration,Komentar dari BLINK ini termasuk dalam kategori Denigration karena kalimat yang diutarakan mengandung konotasi merendahkan aespa
26,,Flaming,Komentar dari BLINK ini termasuk dalam kategori Flaming karena kalimat yang diutarakan mengandung ejekan terhadap karya musik aespa untuk tanggapan terhadap komentar My yang juga termasuk kategori Flaming karena mengejek bahwa semua penonton Blackpink di Coachella merupakan penonton bayaran
27,,Denigration,Komentar dari BLINK ini termasuk dalam kategori Denigration karena kalimat yang diutarakan menyindir aespa yeng ingin mengikuti Blackpink namun tidak bisa menyamai pada suatu video aespa untuk sebuah brand yang mirip dengan video teaser Blackpink
28,,Flaming,Komentar dari BLINK ini termasuk dalam kategori Flaming karena kalimat yang diutarakan mengandung ejekan terhadap aespa bahwa mereka itu sok-sok an
29,,Denigration,Komentar dari BLINK ini termasuk dalam kategori Denigration karena kalimat yang diutarakan mengandung sindiran terhadap aespa bahwa mereka belum pernah menyanyi didepan penonton
30,,Flaming,Komentar dari My ini termasuk dalam kategori Flaming karena kalimat yang diutarakan mengandung ejekan terhadap BLINK bahwa mereka fans yang norak